,time_timetuple,time_datetime,ask,bid,cpn,facevalue,y2o_ask,y2o_bid,yield_ask,yield_bid,future_payments_sum_rf_discounted,ytm_rf,yto_rf,spread_offer_ask,spread_offer_bid,spread_maturity_ask,spread_maturity_bid
344,2014-06-23,2014-06-23 00:00:00,98.0,96.51,45.38,1000.0,,,10.3556,10.8604,1037.7173441337077,0.0846826486055251,0.0846826486055251,,,1.8873351394474902,2.3921351394474897
343,2014-06-24,2014-06-24 00:00:00,98.5,96.51,45.38,1000.0,,,10.0883,11.0374,1039.7462346982832,0.0837660511821676,0.0837660511821676,,,1.7116948817832416,2.660794881783241
342,2014-06-25,2014-06-25 00:00:00,98.0,96.0,45.38,1000.0,,,10.9014,10.2494,1040.7047244450685,0.08339449616039613,0.08339449616039613,,,2.5619503839603883,1.9099503839603873
341,2014-06-26,2014-06-26 00:00:00,98.49,97.01,45.38,1000.0,,,10.364,10.8977,1040.159414869982,0.08378914758435817,0.08378914758435817,,,1.9850852415641835,2.518785241564183
340,2014-06-27,2014-06-27 00:00:00,98.49,96.5,45.38,1000.0,,,10.3603,11.1808,1040.6702492429813,0.08364532402765108,0.08364532402765108,,,1.9957675972348916,2.8162675972348907
339,2014-06-30,2014-06-30 00:00:00,98.49,95.55,45.38,1000.0,,,10.445,10.5,1040.5888712651686,0.0840394954181817,0.0840394954181817,,,2.0410504581818305,2.0960504581818302
338,2014-07-01,2014-07-01 00:00:00,98.49,95.51,45.38,1000.0,,,10.0995,11.1343,1038.6436595672853,0.08515853874266742,0.08515853874266742,,,1.5836461257332584,2.618446125733257
337,2014-07-02,2014-07-02 00:00:00,98.49,95.51,45.38,1000.0,,,10.1004,11.1305,1041.107200574998,0.08400959436381886,0.08400959436381886,,,1.699440563618115,2.729540563618114
336,2014-07-03,2014-07-03 00:00:00,98.49,92.01,45.38,1000.0,,,10.1013,11.4686,1040.3933903297711,0.08449581215020227,0.08449581215020227,,,1.6517187849797725,3.0190187849797727
335,2014-07-04,2014-07-04 00:00:00,98.49,95.46,45.38,1000.0,,,10.1023,11.1734,1039.5706993353674,0.08504008661523936,0.08504008661523936,,,1.5982913384760629,2.669391338476064
334,2014-07-07,2014-07-07 00:00:00,98.48,95.47,45.38,1000.0,,,10.1106,11.1967,1040.5312427090685,0.08490377607815398,0.08490377607815398,,,1.6202223921846013,2.7063223921846014
333,2014-07-08,2014-07-08 00:00:00,99.1,92.01,45.38,1000.0,,,9.7753,11.0476,1042.1186318783934,0.08420118491313588,0.08420118491313588,,,1.355181508686412,2.6274815086864116
332,2014-07-09,2014-07-09 00:00:00,98.95,95.46,45.38,1000.0,,,9.8573,11.0951,1040.7583029170319,0.08502727521889619,0.08502727521889619,,,1.3545724781103807,2.5923724781103807
331,2014-07-10,2014-07-10 00:00:00,99.17,95.51,45.38,1000.0,,,9.739,11.0691,1040.2631552328332,0.08540625691970137,0.08540625691970137,,,1.198374308029864,2.528474308029864
330,2014-07-11,2014-07-11 00:00:00,99.09,97.1,45.38,1000.0,,,9.7828,10.8306,1040.166104619529,0.08557876184115262,0.08557876184115262,,,1.224923815884738,2.2727238158847385
329,2014-07-14,2014-07-14 00:00:00,98.79,95.56,45.38,1000.0,,,9.9476,11.7527,1039.7124257471164,0.08618453470145263,0.08618453470145263,,,1.3291465298547376,3.134246529854739
